Locus,HZ,MBS,RL,WAB,WENT
AGLA232,0.6992,0.8938,1.0000,1.0000,0.9827
BL1036,0.6706,0.9819,1.0000,1.0000,NA
BM1225,0.8190,0.9819,0.8656,0.8358,1.0000
BM1706,0.6992,0.9819,0.8656,0.8358,1.0000
BM17132,0.6706,0.8967,0.8601,0.8358,1.0000
BM1824,0.6706,0.8967,1.0000,0.8358,1.0000
BM1862,0.9104,0.9268,0.5629,0.8358,1.0000
BM2113,0.6992,0.8938,0.0441*,1.0000,1.0000
BM2830,0.6706,0.8967,0.3391,0.9408,1.0000
BM4107,0.6706,0.8938,1.0000,1.0000,1.0000
BM4311,0.6706,0.8967,1.0000,1.0000,1.0000
BM4440,0.6706,0.9819,0.6738,0.9408,1.0000
BM47,0.6706,0.8967,0.0563,NA,NA
BM711,0.6992,1.0000,1.0000,0.8358,NA
BM720,0.6992,0.8938,0.2303,0.8358,1.0000
BM757,0.6992,0.8967,1.0000,0.8358,1.0000
BMC4214,0.6992,0.9268,1.0000,1.0000,0.8139
BMS1001,0.6706,0.8938,0.9315,1.0000,0.8139
BMS1074,0.6706,0.8967,1.0000,1.0000,0.8139
BMS1117,1.0000,0.8967,0.8648,0.9408,1.0000
BMS1172,0.6706,1.0000,0.8656,1.0000,0.8139
BMS1315,0.6706,0.8967,0.8656,1.0000,0.8139
BMS1355,1.0000,0.9819,0.2303,1.0000,1.0000
BMS1675,0.8190,0.9637,1.0000,0.8358,1.0000
BMS1716,0.6706,0.8938,1.0000,0.4089,1.0000
BMS1747,0.8190,0.8967,0.5629,0.9408,1.0000
BMS1857,0.6706,0.8967,1.0000,1.0000,1.0000
BMS1862,0.7511,0.9819,0.8656,0.9408,1.0000
BMS2258,0.6992,0.9819,1.0000,1.0000,1.0000
BMS2639,0.6992,0.8967,0.8656,1.0000,1.0000
BMS410,0.8190,0.8967,1.0000,0.7990,1.0000
BMS510,0.8190,0.8967,1.0000,0.8358,1.0000
BMS527,0.9015,0.8967,0.3830,1.0000,1.0000
BMS528,0.6706,0.9819,1.0000,1.0000,1.0000
BMS601,0.6706,0.3479,1.0000,1.0000,1.0000
BMS812,0.6706,0.8938,1.0000,0.8358,1.0000
BMS941,0.8190,0.8967,1.0000,0.8358,1.0000
HUJ246,0.6992,0.8967,1.0000,1.0000,1.0000
IL4,0.6706,0.9819,1.0000,1.0000,0.8139
ILSTS102,1.0000,0.8967,1.0000,1.0000,NA
INRA037,0.9770,0.9819,1.0000,0.8358,1.0000
INRA133,0.6992,0.8938,0.6738,1.0000,1.0000
INRA194,0.6992,0.8967,1.0000,0.9408,1.0000
RM372,0.6706,0.8967,0.8601,1.0000,1.0000
SPS115,0.6706,0.8967,1.0000,0.8358,0.8139
TGLA122,0.8231,0.9819,1.0000,0.3243,1.0000
TGLA44,0.6706,0.8967,1.0000,1.0000,1.0000
TGLA53,0.8190,0.8938,1.0000,NA,1.0000
URB011,0.8268,0.8967,0.8601,0.8358,1.0000
